"SITE","STONE","DISC_CIRC","DISC_WHEN","DISC_WHO","SUBSQ_HIST","CURRENT_SEtting","CURRENT_LOcation","LOC_NOTES","MON_FORM","FORM_NOTES","COMPLETENEss","PRESERVATIon","PRESCONDNOtes","M_SOURCE","M_HEIGHT","M_HT_STATUs","M_WIDTH","M_WDTH_STAtus","M_THICKNESs","M_THCK_STAtus","I_SOURCE","I_HT_FEET","I_HT_INCHEs","I_HT_STATUs","I_WD_FEET","I_WD_INCHEs","I_WDTH_STAtus","I_TH_FEET","I_TH_INCHEs","I_THCK_STAtus","STONE_TYPE","NO_CARVED","DECOR_NOTEs","VISITED"
AGHIB,1,"first mentioned",1879,"R.R. Brash",,"in ground",earliest,,pilsp,,inc,inc,,converted,0.97,visible,,visible,,visible,Macalister/1945,3,2,visible,,10.5,visible,,7,visible,,0,,
AGHIB,2,"first mentioned",1879,"R.R. Brash",,"in struct",earliest,,pilsp,,inc,inc,,converted,0.69,visible,0.46,visible,0.15,visible,Macalister/1945,2,3,visible,1,6,visible,0,6,visible,,0,,
AGHIB,3,"first mentioned",1879,"R.R. Brash",,"in struct",earliest,,pilsp,,complete,inc,,converted,1.68,visible,0.18,visible,0.46,visible,Macalister/1945,5,6,visible,0,7,visible,1,6,visible,," 1",,
AGLIS,1,"first mentioned",1848,"R. Hitchcock",,"in display",museum,,pilsp,,incomplete,some,,converted,0.88,actual,0.25,actual,0.05,actual,Macalister/1945,2,10.5,actual,0,10,actual,0,2,actual,,1,,
AGLIS,2,"first mentioned",1848,"R. Hitchcock",,inc,earliest,,pilsp,,incomplete,poor,,"Cuppage et al/1986",0.9,actual,0.25,actual,0,inc,converted,2,11.5,actual,0,9.75,actual,0,0,inc,,0,,
AGWIL,1,recognised,1876,"Rev A. Roberts",,lost,lost,,pilsp,,incomplete,some,,converted,,inc,,inc,,inc,Macalister/1945,,,inc,,,inc,,,inc,,0,,
AGWIL,2,"first mentioned",1696,"Edward Lhuyd",,lost,lost,,inc,,inc,n/a,,converted,,inc,,inc,,inc,Macalister/1945,,,inc,,,inc,,,inc,,0,,
AHLIS,1,"first mentioned",1841,"Z. Hawkes",,"in display",museum,,pilsp,,inc,inc,,converted,1.35,actual,0.36,actual,0.24,actual,Macalister/1945,4,5,actual,1,2,actual,0,9.5,actual,,0,,
AHLIS,2,"first mentioned",1841,"Z. Hawkes",,"in display",museum,,pilsp,,inc,some,,converted,1.52,actual,0.64,actual,0.22,actual,Macalister/1945,5,0,actual,2,1,actual,0,8.5,actual,,0,,
AHLIS,3,"first mentioned",1841,"Z. Hawkes",,"in display",museum,,pilsp,,inc,inc,,converted,0.97,actual,0.3,actual,0.13,actual,Macalister/1945,3,2,actual,1,0,actual,0,5,actual,,0,,
ALTYR,1,inc,,inc,,"in ground",other,,slbcr,,complete,some,,Forsyth/1996,3.3,actual,0.86,actual,0.18,actual,converted,10,10,actual,2,9.75,actual,0,7,actual,,,,
AMORE,1,"first mentioned",1855,inc,,unattch,"on site",,pilsp,,inc,inc,,converted,1.27,actual,0.28,actual,0.3,actual,Macalister/1945,4,2,actual,0,11,actual,1,0,actual,,0,,
AMORE,2,"first mentioned",1855,inc,,"in display",museum,,ind,,frgmntry,poor,,converted,0.86,visible,0.3,visible,0.05,visible,Macalister/1945,2,10,visible,1,0,visible,0,2,visible,,0,,
AMORE,3,"in/on structure",,"Mr. R. Chearnley",,"in struct","on site",,pilsp,,complete,good,,converted,1.33,actual,0.33,actual,0.23,actual,Macalister/1945,4,4.5,actual,1,1,actual,0,9,actual,,1,,
ANDRS,1,recognised,1909,"P.M.C. Kermode",,"in display",museum,,pilsp,,complete,good,,converted,1.75,actual,0.43,actual,,actual,Kermode/1911,5,9,actual,1,5,actual,,8,actual,,0,,
ANGAP,1,recognised,1945,"Mr. G. Fitzgerald",,"in display",museum,,ind,,frgmntry,poor,,converted,0.42,actual,0.1,actual,0.06,actual,Macalister/1945,1,4.5,actual,0,4,actual,0,2.25,actual,,0,,
ANSCL,1,"in/on structure",1989,"E. O Grifin",,"in display",museum,,inc,,frgmntry,some,,MacManus/1991,,n/a,,n/a,,n/a,converted,,,n/a,,,n/a,,,n/a,,0,,
ARBRY,1,"in/on structure",1885,"Rev. E. Savage",,"in display",museum,,pillp,,incomplete,good,,converted,1.35,actual,0.32,actual,,actual,Kermode/1907,4,5,actual,1,0.5,actual,,6,actual,,0,,
ARBRY,2,"in/on structure",1886,"Rev. E. Savage",,"in display",museum,,nboul,,inc,inc,,converted,0.44,actual,0.41,actual,,actual,Kermode/1907,1,5.5,actual,1,4,actual,,8,actual,,0,,
ARDCT,1,"first mentioned",1945,"Tralee Field Club",,"on ground",earliest,,slbns,,incomplete,poor,,converted,,n/a,,n/a,,n/a,Macalister/1945,,,n/a,,,n/a,,,n/a,,0,,
ARDCT,2,"first mentioned",1945,"Tralee Field Club",,"in ground",earliest,,pilsp,,frgmntry,some,,converted,1.22,actual,,inc,,inc,Macalister/1945,4,0,actual,,,inc,,,inc,,0,,
ARDFE,1,"first mentioned",1945,"R. A.S. Macalister",,"in ground",other,,pilsp,,inc,some,,converted,1.22,actual,0.3,actual,0.28,actual,Macalister/1945,4,0,actual,1,0,actual,0,11,actual,,0,,
ARDNE,1,"first mentioned",1945,"Mr P. O'Sullivan",,"in display",museum,,ind,,frgmntry,poor,,converted,0.24,actual,0.18,actual,0.1,actual,Macalister/1945,0,9.62,actual,0,7,actual,0,3.75,actual,,0,,
ARFYN,1,"arch excav",1969,"R.B. White",,"in display","on site",,pilsp,,complete,good,,White/1971-1972,,inc,,inc,,inc,converted,,,inc,,,inc,,,inc,,0,,
ARRAG,1,"first mentioned",1840,Hitchcock,,"in ground",earliest,,pilsp,,incomplete,poor,,converted,1.91,actual,0.38,actual,0.2,actual,Macalister/1945,6,3,actual,1,3,actual,0,8,actual,,2,,
ARRAG,2,"first mentioned",1840,Hitchcock,,lost,lost,,pilsp,,inc,inc,,converted,,n/a,,n/a,,n/a,Macalister/1945,,,n/a,,,n/a,,,n/a,,0,,
ATHLO,1,"first mentioned",1851,"T. L. Cooke",,lost,lost,,slbcr,,inc,inc,,converted,0.91,uncertain,0.51,uncertain,,n/a,Macalister/1949,3,0,uncertain,1,8,uncertain,0,,n/a,,1,,
AUQUH,1,recognised,1886,"Rev. J. Michie",,"in ground",earliest,,pilsp,,complete,good,,"Forsyth/1996, 43",0.43,actual,0.66,actual,0.7,actual,converted,1,5,actual,2,2,actual,2,3.5,actual,,0,,
AUTAG,1,"first mentioned",1898,"J. Rhys",,"in ground",earliest,,nboul,,inc,some,,converted,1.12,visible,0.76,actual,0.36,actual,Macalister/1945,3,8,visible,2,6,actual,1,2,actual,,0,,
AYWAG,1,"first mentioned",1945,"M. Casey",,"in ground",earliest,,slbns,,inc,poor,,converted,,actual,,actual,0.46,actual,Macalister/1945,4,,actual,2,,actual,1,6,actual,,1,,
BABOR,1,"first mentioned",1839,Windele,,inc,"on site",,slbns,,incomplete,poor,,converted,2.08,actual,1.4,actual,0.36,actual,Macalister/1945,6,10,actual,4,7,actual,1,2,actual,,0,,
BABOR,2,"first mentioned",1839,Windele,,lost,lost,,pilsp,,inc,inc,,converted,,n/a,,n/a,,n/a,Macalister/1945,,,n/a,,,n/a,,,n/a,,0,,
BAGLN,1,"first mentioned",1851,"J.O. Westwood",,"in struct","on site",,pillc,,complete,good,,RCAHMW/1925,0.7,actual,0.43,actual,0.01,ind,Macalister/1949,2,3.5,actual,1,4,actual,0,0.01,ind,,1,,
BAHAN,1,"first mentioned",1846,"F.M. Jennings",,"in display",museum,,pilsp,,incomplete,poor,,"Power et al/1997",0.6,actual,0.3,actual,0.1,actual,converted,1,11.5,actual,0,11.75,actual,0,4,actual,,0,,
BAHAN,2,"first mentioned",1843,"Windele et al",,"in display",museum,,slbns,,inc,inc,,"Power et al/1997",0.9,actual,0.4,actual,0.2,actual,converted,2,11.5,actual,1,3.75,actual,0,7.75,actual,,0,,
BAHAN,3,"first mentioned",1843,"Windele et al",,"in display",museum,,pilsp,,incomplete,some,,"Power et al/1997",1.2,actual,0.5,actual,0.25,actual,converted,3,11.25,actual,1,7.75,actual,0,9.75,actual,,0,,
BAHAN,4,"first mentioned",1843,"Windele et al",,"in display",museum,,pilsp,,frgmntry,inc,,"Power et al/1997",1.3,actual,0.6,actual,0.2,actual,converted,4,3.25,actual,1,11.5,actual,0,7.75,actual,,0,,
BAHAN,5,"first mentioned",1843,"Windele et al",,"in display",museum,,pilsp,,complete,inc,,"Power et al/1997",1.4,actual,0.5,actual,0.4,actual,converted,4,7,actual,1,7.75,actual,1,3.75,actual,,0,,
BAHAN,6,"first mentioned",1843,"Windele et al",,"in display",museum,,pilsp,,inc,inc,,"Power et al/1997",1.1,actual,0.3,actual,0.3,actual,converted,3,7.25,actual,0,11.75,actual,0,11.75,actual,,0,,
BAKIL,1,"in/on structure",-1,"Morganwg, Iolo",,"in display",other,,pilsp,,incomplete,some,,converted,1.79,actual,0.23,actual,0.14,actual,Macalister/1945,5,10.5,actual,0,9,actual,0,5.5,actual,,1,,
BAKIL,2,"first mentioned",1949,"M. Duigan",,"in display","on site",,slbcr,,inc,inc,,converted,0.99,uncertain,,uncertain,,uncertain,Macalister/1949,3,3,uncertain,2,,uncertain,,5,uncertain,,1,,
BAKNK,1,"non-arch dig",1891,"Rev. E. Barry",,inc,lost,,pilsp,,complete,inc,,converted,1.13,actual,0,inc,0,inc,Macalister/1945,3,8.5,actual,0,0,inc,0,0,inc,,0,,
BAKNK,2,"non-arch dig",1891,"Rev. E. Barry",,"in display",museum,,pilsp,,frgmntry,some,,converted,0.81,actual,0.51,actual,,actual,Macalister/1945,2,8,actual,1,8,actual,,6,actual,,0,,
BAKNK,3,"non-arch dig",1891,"Rev. E. Barry",,"in ground",earliest,,inc,,inc,inc,,converted,,n/a,,n/a,,n/a,Macalister/1945,,,n/a,,,n/a,,,n/a,,0,,
BAKNK,4,"non-arch dig",1891,"Rev. E. Barry",,"in display",museum,,pilsp,,inc,poor,,converted,1.5,actual,0.33,actual,0.23,actual,Macalister/1945,4,11,actual,1,1,actual,0,9,actual,,0,,
BAKNK,5,"non-arch dig",1891,"Rev. E. Barry",,"in display",museum,,pilsp,,inc,inc,,converted,1.17,actual,0.33,actual,,actual,Macalister/1945,3,10,actual,1,1,actual,,9,actual,,0,,
BAKNK,6,"non-arch dig",1891,"Rev. E. Barry",,"in display",museum,,pilsp,,inc,some,,converted,1.27,actual,0.36,actual,0.2,actual,Macalister/1945,4,2,actual,1,2,actual,0,8,actual,,0,,
BAKNK,7,"non-arch dig",1891,"Rev. E. Barry",,"in display",museum,,pilsp,,complete,good,,converted,1.33,actual,0.34,actual,0.2,actual,Macalister/1945,4,4.5,actual,1,1.5,actual,0,8,actual,,0,,
BAKNK,8,"non-arch dig",1891,"Rev. E. Barry",,"in display",museum,,pilsp,,complete,some,,converted,1.32,actual,0.36,actual,0.23,actual,Macalister/1945,4,4,actual,1,2,actual,0,9,actual,,0,,
BAKNK,9,"non-arch dig",1891,"Rev. E. Barry",,"in display",museum,,pilsp,,inc,inc,,converted,1.17,actual,0.38,actual,0.19,actual,Macalister/1945,3,10,actual,1,3,actual,0,7.5,actual,,0,,
BAKNK,10,"non-arch dig",1891,"Rev. E. Barry",,inc,inc,,inc,,inc,inc,,converted,1.24,actual,,inc,,inc,Macalister/1945,4,1,actual,,,inc,,,inc,,0,,
BAKNK,11,"non-arch dig",1891,"Rev. E. Barry",,"in display",museum,,pilsp,,incomplete,poor,,converted,,actual,0.38,actual,0.15,actual,Macalister/1945,4,,actual,1,3,actual,0,6,actual,,0,,
BAKNK,12,"non-arch dig",1891,"Rev. E. Barry",,"in display",museum,,pilsp,,complete,good,,converted,1.37,actual,0.38,actual,0.23,actual,Macalister/1945,4,6,actual,1,3,actual,0,9,actual,,0,,
BAKNK,13,"non-arch dig",1891,"Rev. E. Barry",,"in display",museum,,inc,,inc,some,,converted,0.98,actual,,actual,0.14,actual,Macalister/1945,3,2.5,actual,1,,actual,0,5.5,actual,,0,,
BAKNK,14,"non-arch dig",1891,"Rev. E. Barry",,"in display",museum,,pilsp,,complete,good,,converted,1.07,actual,0.51,actual,0.11,actual,Macalister/1945,3,6,actual,1,8,actual,0,4.5,actual,,0,,
BAKNK,15,"non-arch dig",1891,"Rev. E. Barry",,inc,inc,,pilsp,,inc,inc,,converted,2.02,actual,0.51,actual,0.23,actual,Macalister/1945,6,7.5,actual,1,8,actual,0,9,actual,,0,,
BALBA,1,"first mentioned",1991,"D. McManus",,"in display",museum,,pilsp,,incomplete,some,,McManus/1991,,n/a,,n/a,,n/a,converted,,,n/a,,,n/a,,,n/a,,0,,
BALBO,1,recognised,1841,inc,,"in ground","on site",,slbns,,incomplete,some,,converted,2.08,actual,1.47,actual,0.36,actual,Macalister/1945,6,10,actual,4,10,actual,1,2,actual,,0,,
BALBO,2,"first mentioned",1841,Windele,,lost,lost,,pilsp,,n/a,n/a,,converted,,n/a,,n/a,,n/a,Macalister/1945,,,n/a,,,n/a,,,n/a,,0,,
BALBR,1,"first mentioned",1949,"Dr. Raftery",,inc,inc,,inc,,inc,inc,,converted,,n/a,,n/a,,n/a,Macalister/1949,,,n/a,,,n/a,,,n/a,,0,,
BALEE,1,"first mentioned",1790,"H. Pelham",,"on ground",other,,pilsp,,incomplete,some,,converted,1.93,actual,0.33,actual,0.36,actual,Macalister/1945,6,4,actual,1,1,actual,1,2,actual,,1,,
BALGH,1,recognised,1944,"R.A.S. Macalister",,"in ground",earliest,,pilsp,,complete,some,,converted,2.9,actual,1.37,actual,1.07,actual,Macalister/1945,9,6,actual,4,6,actual,3,6,actual,,2,,
BALIG,1,recognised,1782,"H. Pelham",,unattch,other,,pilsp,,complete,some,,converted,1.05,actual,0.57,actual,0.2,actual,Macalister/1945,3,5.5,actual,1,10.5,actual,0,8,actual,,0,,
BALIG,2,recognised,1782,"H. Pelham",,unattch,other,,pilsp,,complete,some,,converted,1.27,actual,0.38,actual,0.2,actual,Macalister/1945,4,2,actual,1,3,actual,0,8,actual,,0,,
BALIG,3,recognised,1782,"H. Pelham",,unattch,other,,pilsp,,complete,good,,converted,1.22,actual,0.23,actual,0.28,actual,Macalister/1945,4,0,actual,0,9,actual,0,11,actual,,0,,
BALIG,4,recognised,1782,"H. Pelham",,unattch,other,,pilsp,,incomplete,some,,converted,0.91,actual,0.23,actual,0.25,actual,Macalister/1945,3,0,actual,0,9,actual,0,10,actual,,0,,
BALIG,5,recognised,1792,"H. Pelham",,unattch,other,,pilsp,,incomplete,poor,,converted,0.97,actual,0.39,actual,,actual,Macalister/1945,3,2,actual,1,3.25,actual,,7,actual,,0,,
BALIG,6,recognised,1792,"H. Pelham",,unattch,other,,pilsp,,complete,some,,converted,1.02,actual,0.3,actual,0.18,actual,Macalister/1945,3,4,actual,1,0,actual,0,7,actual,,0,,
BALIG,7,recognised,1791,"H. Pelham",,"in ground","on site",,pilsp,,incomplete,inc,,converted,1.73,actual,0.51,actual,0.18,actual,Macalister/1945,5,8,actual,1,8,actual,0,7,actual,,0,,
BALIG,8,"first mentioned",0,Hitchcock,,lost,lost,,pilsp,,inc,some,,converted,,n/a,,n/a,,n/a,Macalister/1945,,,n/a,,,n/a,,,n/a,,0,,
BARDS,1,"in/on structure",1848,CAA,,unattch,other,,fcsB,,incomplete,poor,,converted,0.71,actual,0.39,actual,0.13,actual,RCAHMW/1964,2,4,actual,1,3.5,actual,0,5,actual,,3,,
BARHA,1,recognised,1845,"D. Haly",,unattch,museum,,pilsp,,incomplete,some,,converted,1.42,actual,0.38,actual,0.1,actual,Macalister/1945,4,8,actual,1,3,actual,0,4,actual,,0,,
BARM1,1,"first mentioned",1736,L.Morris,,"in display",other,,pilsp,,complete,good,,converted,1.52,actual,0.3,actual,0.2,actual,Macalister/1945,5,0,actual,1,0,actual,0,8,actual,,0,,
BARM2,1,"first mentioned",1781,Pennant,,"in display",other,,pillp,,complete,good,,converted,1.91,actual,0.36,actual,0.23,actual,Nash-Williams/1950,6,3,actual,1,2,actual,0,9,actual,,0,,
BAROG,1,"first mentioned",1916,"J. Dolan",,"in ground",earliest,,pilsp,,complete,inc,,converted,2.59,actual,,inc,,inc,Macalister/1945,8,6,actual,0,,inc,0,,inc,,,,
BAVEL,1,"first mentioned",1896,"Rev. P. Power",,lost,lost,,pilsp,,inc,n/a,,converted,,uncertain,,n/a,,n/a,Macalister/1897,7,,uncertain,,,n/a,,,n/a,,0,,
BAWGL,1,"first mentioned",1908,"P.J. Lynch",,"in ground",other,,pilsp,,incomplete,some,,converted,1.07,actual,0.33,actual,0.3,actual,Macalister/1945,3,6,actual,1,1,actual,1,0,actual,,0,,
BAYEL,1,"first mentioned",1907,"J. Westrop",,lost,lost,,ind,,inc,inc,,converted,0.76,uncertain,0.18,uncertain,0,inc,Macalister/1945,2,6,uncertain,0,7,uncertain,0,0,inc,,0,,
BCARE,1,"first mentioned",1945,"L. Price",,"in ground",earliest,,pilsp,,complete,good,,converted,0.76,actual,,inc,,inc,Macalister/1945,2,6,actual,,0,inc,,0,inc,,0,,
BDAFN,1,recognised,1731,"Morris, Lewis",,"in display",other,,pilsp,,complete,good,,converted,0.94,actual,0.49,actual,0.34,actual,Macalister/1945,3,1,actual,1,7.25,actual,1,1.5,actual,,0,,
BDREN,1,"first mentioned",1898,Cochrane,,"on ground",other,,pilsp,,complete,inc,,converted,0.84,actual,0.36,actual,0.15,actual,Macalister/1945,2,9,actual,1,2,actual,0,5.75,actual,,0,,
BDREN,2,"first mentioned",1939,"R.A.S. Macalister",,"in ground",earliest,,pilsp,,complete,some,,converted,2.13,actual,1.07,actual,0.56,actual,Macalister/1945,7,0,actual,3,6,actual,1,10,actual,,0,,
BENBR,1,"first mentioned",1991,"M. Phelan",,unattch,other,,pilsp,,inc,inc,,McManus/1991,1.56,actual,0.51,actual,0.26,actual,converted,5,1.5,actual,1,8,actual,0,10.25,actual,,0,,
BGARR,1,"first mentioned",1906,"H.S. Crawford",,"in ground",earliest,,pilsp,,complete,some,,converted,1.47,actual,0.46,actual,,actual,Macalister/1945,4,10,actual,1,6,actual,,11,actual,,0,,
BGLAS,1,"first mentioned",1916,"R. A. S. Macalister",,unattch,museum,,pilsp,,frgmntry,poor,,converted,1.32,visible,0.53,actual,,actual,Macalister/1945,4,4,visible,1,9,actual,,11,actual,,0,,
BHILL,1,"first mentioned",,"J. Windele",,lost,lost,,pilsp,,inc,inc,,converted,1.22,uncertain,0.61,uncertain,0.3,uncertain,Macalister/1945,4,0,uncertain,2,0,uncertain,1,0,uncertain,,0,,
BIISL,1,"first mentioned",1914,Power,,unattch,museum,,pilsp,,incomplete,some,,converted,0.97,actual,0.3,actual,0.13,actual,Macalister/1945,3,2,actual,1,0,actual,0,5,actual,,0,,
BIRSY,1,recognised,1920,inc,,lost,lost,,slbns,,incomplete,some,,converted,0.62,actual,,actual,,actual,Forsyth/1996,0,24.5,actual,,12,actual,,4.5,actual,,0,,
BIRSY,2,"first mentioned",1962,"C. Ralegh-Radford",,inc,lost,,slbns,,complete,some,,converted,,actual,,actual,,actual,Forsyth/1996,,14.5,actual,,9.5,actual,,2,actual,,0,,
BIRSY,3,"arch excav",1980,"C. Morris",,unattch,other,,arcot,,complete,good,,,,,,,,,,,,,,,,,,,,0,,
BIRSY,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISCV,1,recognised,1700,"Edward Lhwyd",,"in ground",other,,fcsB,,inc,poor,,Okasha/1993,2.22,visible,0.45,actual,0.2,actual,Macalister/1949,7,9,visible,1,5,actual,0,9,actual,inc,4,,FALSE
BLFOO,1,recognised,1968,"K. Steer",,n/a,earliest,,ncave,,inc,some,,Forsyth/1996,,n/a,,n/a,,n/a,converted,,,n/a,,,n/a,,,n/a,,0,,
BLFOO,2,recognised,1992,"I. Fisher",,n/a,earliest,,ncave,,inc,inc,,Forsyth/1994,,n/a,,n/a,,n/a,converted,,,n/a,,,n/a,,,n/a,,0,,
BLHER,1,"first mentioned",1894,"C. Graves",,unattch,museum,,pilsp,,complete,good,,converted,1.22,actual,0.47,actual,0.1,actual,Macalister/1945,4,0,actual,1,6.5,actual,0,4,actual,,0,,
BLHUN,1,"first mentioned",1848,"J. Windele",,"in display","on site",,slbcr,,inc,inc,,converted,1.52,actual,0.42,actual,0.13,actual,Macalister/1945,5,0,actual,1,4.5,actual,0,5,actual,,1,,
BLNIG,1,"non-arch dig",1848,"P. McDonnell",,unattch,museum,,pilsp,,incomplete,poor,,converted,0.86,actual,0.23,actual,0.08,actual,Macalister/1945,2,10,actual,0,9,actual,0,3,actual,,1,,
BLTAG,1,"first mentioned",1804,Vallancey,,"in ground","on site",,ind,,incomplete,some,,converted,0.97,actual,0.36,actual,0.15,actual,Macalister/1945,3,2,actual,1,2,actual,0,6,actual,,0,,
BLTAG,2,"first mentioned",1804,Vallancey,,"in ground","on site",,nboul,,incomplete,some,,converted,1.07,actual,0.33,actual,0.13,actual,Macalister/1945,3,6,actual,1,1,actual,0,5,actual,,1,,
BLTAG,3,"first mentioned",1804,Vallancey,,"in ground","on site",,nboul,,inc,inc,,converted,0.94,actual,0.34,actual,0.15,actual,Macalister/1945,3,1,actual,1,1.5,actual,0,6,actual,,0,,
BLTAG,4,"first mentioned",1804,Vallancey,,"in ground","on site",,nboul,,complete,good,,converted,0.56,actual,0.36,actual,0.13,actual,Macalister/1945,1,10,actual,1,2,actual,0,5,actual,,0,,
BLTAG,5,"first mentioned",1804,Vallancey,,"in ground","on site",,nboul,,inc,some,,converted,1.27,actual,0.33,actual,0.25,actual,Macalister/1945,4,2,actual,1,1,actual,0,10,actual,,0,,
BLTAG,6,"first mentioned",1804,Vallancey,,"in ground","on site",,nboul,,inc,inc,,converted,1.07,actual,0.41,actual,0.2,actual,Macalister/1945,3,6,actual,1,4,actual,0,8,actual,,1,,
BLTAG,7,"first mentioned",1908,Vallancey,,"in ground","on site",,nboul,,inc,inc,,converted,0.97,actual,0.33,actual,0.2,actual,Macalister/1945,3,2,actual,1,1,actual,0,8,actual,,1,,
BLTAG,8,"first mentioned",1908,Vallancey,,"in ground","on site",,nboul,,complete,some,,converted,1.19,actual,0.41,actual,0.23,actual,Macalister/1945,3,11,actual,1,4,actual,0,9,actual,,0,,
BLTAG,9,"first mentioned",1908,Vallancey,,"in ground","on site",,nboul,,inc,some,,converted,1.04,actual,0.56,actual,0.18,actual,Macalister/1945,3,5,actual,1,10,actual,0,7,actual,,1,,
BLTAG,10,"non-arch dig",0,inc,,lost,lost,,inc,,inc,inc,,converted,,n/a,,n/a,,n/a,"Cuppage et al/1986",,,n/a,,,n/a,,,n/a,,0,,
BLTER,1,"first mentioned",1804,"P. Pelham",,"in ground",earliest,,pilsp,,incomplete,some,,Cuppage/etal/1986,3.9,actual,1.1,actual,0.78,actual,converted,12,9.5,actual,3,7.25,actual,2,6.75,actual,,1,,
BLTER,2,"in/on structure",1945,"Mr. P. O'Sullivan",,inc,museum,,pilsp,,incomplete,inc,,converted,0.43,actual,0.14,actual,0.14,actual,Macalister/1945,1,5,actual,0,5.62,actual,0,5.62,actual,,0,,
BLVOO,1,"first mentioned",1879,"R. R. Brash",,"in ground","on site",,pilsp,,incomplete,poor,,converted,1.22,actual,0.38,actual,0.15,actual,Macalister/1945,4,0,actual,1,3,actual,0,6,actual,,0,,
BLVOO,2,"first mentioned",1879,"R.R. Brash",,"in ground","on site",,pilsp,,complete,good,,converted,0.86,actual,0.61,actual,0.08,actual,Macalister/1945,2,10,actual,2,0,actual,0,3,actual,,0,,
BLYGH,1,"first mentioned",1845,"G. Petrie",,"in ground","on site",,pilsp,,incomplete,some,,converted,1.68,actual,0.46,actual,0.28,actual,Macalister/1945,5,6,actual,1,6,actual,0,11,actual,,0,,
BODFD,1,recognised,1873,"John Rhys",,"in ground",earliest,,rpmeg,,incomplete,good,,converted,1.98,visible,0.66,actual,0.61,actual,Macalister/1945,6,6,visible,2,2,actual,2,,actual,,1,,
BOSKN,1,recognised,1913,"Canon Martyn",,"on ground",other,,pilsp,,complete,poor,,Okasha/1993,1.53,actual,0.42,actual,0.28,actual,Thomas/1980,5,2,actual,,,n/a,,,n/a,,1,,FALSE
BOSLW,1,recognised,1877,"G. B. Millett",,"in ground",earliest,,pilsc,,complete,some,,Okasha/1993,1.11,visible,0.38,actual,0.4,actual,Macalister/1949,4,0,visible,1,2,actual,1,1,actual,inc,2,,FALSE
BOSWR,1,"first mentioned",1960,"Mary Henderson",,"in struct",other,,pilsp,,complete,some,,Okasha/1993,1.85,actual,0.52,actual,0.14,visible,converted,6,0.75,actual,1,8.5,actual,0,5.5,visible,,1,,
BOWDN,1,"first mentioned",1774,"Mr Browse Trist",,lost,lost,,nboul,,n/a,n/a,,converted,,uncertain,,uncertain,,inc,Gough/1806,3,,uncertain,2,,uncertain,,,inc,,1,,
BQUIN,1,"first mentioned",1844,Oldham,,"in ground","on site",,pilsp,,complete,good,,converted,2.34,actual,0.91,actual,0.48,actual,Macalister/1945,7,8,actual,3,0,actual,1,7,actual,,0,,
